id,last_update,name,category,price
16289,2023-01-01 00:00:00,product 2,category 1,59.55
23681,2023-01-01 00:00:02,product 4,category 5,0.84
18251,2023-01-01 00:00:03,product 10,category 5,48.42
52510,2023-01-01 00:00:04,product 7,category 3,38.37
42701,2023-01-01 00:00:04,product 9,category 5,57.27
74173,2023-01-01 00:00:06,product 3,category 4,45.17
98991,2023-01-01 00:00:06,product 2,category 5,51.04
40940,2023-01-01 00:00:06,product 4,category 3,40.46
65655,2023-01-01 00:00:08,product 10,category 1,95.27
57433,2023-01-01 00:00:09,product 6,category 4,83.42
70936,2023-01-01 00:00:10,product 10,category 2,15.71
49706,2023-01-01 00:00:11,product 5,category 2,89.82
36689,2023-01-01 00:00:12,product 5,category 1,2.93
60936,2023-01-01 00:00:12,product 8,category 1,80.23
55179,2023-01-01 00:00:13,product 2,category 3,85.32
13864,2023-01-01 00:00:15,product 2,category 4,49.27
62189,2023-01-01 00:00:15,product 6,category 3,40.44
65106,2023-01-01 00:00:16,product 1,category 3,19.63
48004,2023-01-01 00:00:16,product 3,category 4,52.25
52092,2023-01-01 00:00:20,product 1,category 2,91.94
68656,2023-01-01 00:00:20,product 6,category 4,28.47
56049,2023-01-01 00:00:21,product 2,category 4,54.31
15346,2023-01-01 00:00:21,product 10,category 1,30.66
45399,2023-01-01 00:00:22,product 7,category 5,62.82
76486,2023-01-01 00:00:23,product 10,category 3,93.5
71090,2023-01-01 00:00:24,product 8,category 4,69.75
24964,2023-01-01 00:00:25,product 7,category 4,47.69
44889,2023-01-01 00:00:25,product 7,category 5,18.99
93659,2023-01-01 00:00:27,product 7,category 4,97.07
38090,2023-01-01 00:00:27,product 6,category 4,76.97
58887,2023-01-01 00:00:28,product 4,category 2,19.7
75018,2023-01-01 00:00:33,product 10,category 3,26.95
20968,2023-01-01 00:00:35,product 9,category 5,3.44
73804,2023-01-01 00:00:37,product 10,category 1,16.66
54755,2023-01-01 00:00:37,product 5,category 4,69.51
73441,2023-01-01 00:00:40,product 10,category 1,80.3
16455,2023-01-01 00:00:40,product 2,category 4,36.8
44183,2023-01-01 00:00:42,product 1,category 1,61.63
55361,2023-01-01 00:00:46,product 3,category 2,18.75
55525,2023-01-01 00:00:48,product 5,category 5,52.71
13154,2023-01-01 00:00:50,product 1,category 1,80.0
40155,2023-01-01 00:00:51,product 8,category 1,61.2
82912,2023-01-01 00:00:53,product 4,category 5,49.68
16978,2023-01-01 00:00:54,product 2,category 3,16.79
90463,2023-01-01 00:00:57,product 8,category 4,74.42
38007,2023-01-01 00:00:57,product 9,category 1,81.61
59468,2023-01-01 00:01:02,product 3,category 1,76.43
62199,2023-01-01 00:01:04,product 3,category 4,18.8
76598,2023-01-01 00:01:05,product 2,category 3,71.04
63333,2023-01-01 00:01:06,product 10,category 5,75.8
99986,2023-01-01 00:01:08,product 3,category 4,87.15
12028,2023-01-01 00:01:08,product 9,category 4,10.15
25949,2023-01-01 00:01:12,product 3,category 2,60.89
40923,2023-01-01 00:01:14,product 6,category 1,89.57
70207,2023-01-01 00:01:19,product 2,category 2,60.37
24779,2023-01-01 00:01:19,product 3,category 4,62.0
94916,2023-01-01 00:01:19,product 3,category 4,70.4
55268,2023-01-01 00:01:22,product 2,category 1,27.76
13834,2023-01-01 00:01:22,product 8,category 4,94.18
67944,2023-01-01 00:01:23,product 1,category 2,49.78
46273,2023-01-01 00:01:24,product 3,category 2,20.02
21669,2023-01-01 00:01:25,product 8,category 4,72.05
36210,2023-01-01 00:01:28,product 9,category 5,44.91
50567,2023-01-01 00:01:30,product 8,category 1,39.37
69399,2023-01-01 00:01:31,product 10,category 5,43.74
35196,2023-01-01 00:01:36,product 1,category 4,14.5
44535,2023-01-01 00:01:36,product 7,category 5,49.64
61008,2023-01-01 00:01:37,product 6,category 5,50.1
65917,2023-01-01 00:01:40,product 2,category 1,42.18
62994,2023-01-01 00:01:40,product 8,category 3,86.11
78936,2023-01-01 00:01:41,product 7,category 1,19.19
26305,2023-01-01 00:01:41,product 5,category 3,81.18
34718,2023-01-01 00:01:42,product 6,category 2,54.74
67711,2023-01-01 00:01:43,product 7,category 2,94.1
32470,2023-01-01 00:01:44,product 7,category 4,71.17
13019,2023-01-01 00:01:45,product 5,category 2,43.15
40334,2023-01-01 00:01:46,product 7,category 3,49.62
71780,2023-01-01 00:01:49,product 5,category 4,44.29
80284,2023-01-01 00:01:51,product 3,category 3,28.96
25232,2023-01-01 00:01:57,product 10,category 1,5.77
72009,2023-01-01 00:01:57,product 2,category 3,8.36
39751,2023-01-01 00:01:59,product 7,category 2,42.53
21142,2023-01-01 00:02:01,product 1,category 1,31.69
20849,2023-01-01 00:02:04,product 5,category 3,37.25
70155,2023-01-01 00:02:05,product 7,category 2,3.93
34802,2023-01-01 00:02:07,product 3,category 5,77.43
25755,2023-01-01 00:02:08,product 3,category 3,85.55
90547,2023-01-01 00:02:10,product 1,category 5,31.06
58170,2023-01-01 00:02:10,product 4,category 2,60.53
12920,2023-01-01 00:02:13,product 2,category 3,22.39
72957,2023-01-01 00:02:13,product 4,category 2,22.8
39365,2023-01-01 00:02:14,product 7,category 5,75.51
73761,2023-01-01 00:02:23,product 8,category 4,31.85
16735,2023-01-01 00:02:24,product 8,category 2,23.49
22887,2023-01-01 00:02:24,product 9,category 4,19.71
64190,2023-01-01 00:02:25,product 1,category 1,46.88
49200,2023-01-01 00:02:26,product 3,category 5,26.86
77047,2023-01-01 00:02:27,product 3,category 1,26.67
16077,2023-01-01 00:02:27,product 7,category 1,64.04
18433,2023-01-01 00:02:30,product 1,category 4,88.39
87821,2023-01-01 00:02:34,product 10,category 5,59.79
82228,2023-01-01 00:02:36,product 4,category 2,86.56
56537,2023-01-01 00:02:36,product 3,category 1,5.51
96011,2023-01-01 00:02:41,product 10,category 4,51.39
38629,2023-01-01 00:02:41,product 5,category 3,67.43
41713,2023-01-01 00:02:42,product 8,category 4,42.76
68539,2023-01-01 00:02:43,product 4,category 1,14.95
47353,2023-01-01 00:02:43,product 6,category 4,0.6
96429,2023-01-01 00:02:43,product 1,category 2,63.29
89134,2023-01-01 00:02:43,product 5,category 1,65.84
91471,2023-01-01 00:02:44,product 9,category 5,91.4
11244,2023-01-01 00:02:44,product 5,category 1,53.13
92005,2023-01-01 00:02:46,product 8,category 3,91.82
10890,2023-01-01 00:02:48,product 9,category 4,23.91
84434,2023-01-01 00:02:49,product 6,category 4,9.84
74462,2023-01-01 00:02:49,product 6,category 3,27.16
57494,2023-01-01 00:02:53,product 4,category 5,85.22
77450,2023-01-01 00:02:56,product 7,category 4,21.75
95603,2023-01-01 00:03:00,product 2,category 2,20.06
78759,2023-01-01 00:03:01,product 2,category 5,51.68
92384,2023-01-01 00:03:01,product 9,category 4,5.85
85311,2023-01-01 00:03:03,product 7,category 4,48.95
35900,2023-01-01 00:03:08,product 9,category 1,95.33
40597,2023-01-01 00:03:08,product 9,category 4,73.71
16568,2023-01-01 00:03:09,product 10,category 1,94.1
22308,2023-01-01 00:03:09,product 4,category 3,87.71
26161,2023-01-01 00:03:15,product 7,category 5,83.82
57374,2023-01-01 00:03:15,product 1,category 2,48.45
91290,2023-01-01 00:03:15,product 7,category 1,10.67
35485,2023-01-01 00:03:16,product 9,category 2,99.97
72845,2023-01-01 00:03:17,product 4,category 2,96.06
74580,2023-01-01 00:03:19,product 8,category 3,16.17
48626,2023-01-01 00:03:20,product 3,category 1,42.28
24186,2023-01-01 00:03:20,product 9,category 1,54.92
65631,2023-01-01 00:03:21,product 6,category 3,12.91
30065,2023-01-01 00:03:22,product 8,category 5,99.76
52787,2023-01-01 00:03:23,product 1,category 3,50.63
52333,2023-01-01 00:03:26,product 8,category 3,29.8
60322,2023-01-01 00:03:26,product 9,category 4,57.52
34208,2023-01-01 00:03:27,product 2,category 1,81.49
86507,2023-01-01 00:03:28,product 3,category 2,20.69
47503,2023-01-01 00:03:28,product 9,category 5,25.3
10774,2023-01-01 00:03:28,product 4,category 2,20.5
49377,2023-01-01 00:03:29,product 8,category 4,62.48
40779,2023-01-01 00:03:29,product 4,category 4,61.05
12367,2023-01-01 00:03:31,product 2,category 1,24.59
25500,2023-01-01 00:03:32,product 9,category 4,46.06
21902,2023-01-01 00:03:33,product 5,category 2,95.42
23098,2023-01-01 00:03:41,product 9,category 2,42.64
32485,2023-01-01 00:03:46,product 8,category 4,70.8
68543,2023-01-01 00:03:48,product 7,category 4,79.71
12172,2023-01-01 00:03:58,product 9,category 3,1.94
17887,2023-01-01 00:04:00,product 7,category 4,98.3
31846,2023-01-01 00:04:00,product 3,category 4,77.79
50437,2023-01-01 00:04:00,product 6,category 2,84.74
34529,2023-01-01 00:04:02,product 9,category 4,93.34
62907,2023-01-01 00:04:04,product 8,category 5,26.46
18760,2023-01-01 00:04:05,product 5,category 1,46.95
90248,2023-01-01 00:04:05,product 9,category 3,4.86
75388,2023-01-01 00:04:06,product 2,category 4,69.79
80993,2023-01-01 00:04:08,product 3,category 4,33.7
46188,2023-01-01 00:04:10,product 10,category 2,90.95
90669,2023-01-01 00:04:13,product 7,category 5,40.06
21965,2023-01-01 00:04:16,product 9,category 2,82.97
81845,2023-01-01 00:04:17,product 10,category 3,77.17
99428,2023-01-01 00:04:18,product 4,category 1,24.6
84105,2023-01-01 00:04:19,product 1,category 2,15.25
97864,2023-01-01 00:04:23,product 5,category 5,16.25
63491,2023-01-01 00:04:25,product 2,category 3,32.28
88987,2023-01-01 00:04:26,product 9,category 4,17.56
56031,2023-01-01 00:04:28,product 8,category 4,30.67
91348,2023-01-01 00:04:30,product 6,category 3,73.77
75365,2023-01-01 00:04:30,product 8,category 4,35.69
82079,2023-01-01 00:04:31,product 1,category 4,92.95
32510,2023-01-01 00:04:33,product 1,category 2,48.48
99624,2023-01-01 00:04:34,product 6,category 3,84.31
44260,2023-01-01 00:04:34,product 8,category 2,39.13
53214,2023-01-01 00:04:36,product 9,category 3,66.92
38931,2023-01-01 00:04:37,product 7,category 2,23.9
59878,2023-01-01 00:04:38,product 1,category 3,32.99
12878,2023-01-01 00:04:38,product 8,category 2,38.43
